p_end,e_end,log_likelihood,delta_log_likelihood
0.55,0.76875,-51319.79298771497,2446.7036183123273
0.55,0.7750000000000001,-51371.99460522868,2498.905235826038
0.55,0.78125,-51424.65383062869,2551.564461226044
0.55,0.7875000000000001,-51477.76922469276,2604.6798552901164
0.55,0.79375,-51531.33939337502,2658.250023972374
0.55,0.8,-51585.36298701054,2712.273617607898
0.55,0.8062500000000001,-51639.8386995458,2766.749330143153
0.55,0.8125,-51694.76526779396,2821.675898391317
0.55,0.8187500000000001,-51750.1414707143,2877.052101311652
0.55,0.825,-51805.966128714856,2932.87675931221
0.55,0.83125,-51862.23810297766,2989.1487335750135
0.55,0.8375000000000001,-51918.95629480567,3045.8669254030247
0.55,0.84375,-51976.11964499087,3103.030275588222
0.55,0.8500000000000001,-52033.72713320275,3160.6377638001068
0.55,0.85625,-52091.77777739659,3218.688407993948
0.55,0.8625,-52150.270633240856,3277.1812638382107
0.55,0.8687500000000001,-52209.20479356317,3336.1154241605254
0.55,0.875,-52268.57938781438,3395.490018411736
0.55,0.8812500000000001,-52328.393581549935,3455.30421214729
0.55,0.8875,-52388.64657592832,3515.557206525671
0.55,0.89375,-52449.33760722585,3576.2482378232016
0.55,0.9000000000000001,-52510.46594636748,3637.376576964838
0.55,0.90625,-52572.030898473124,3698.9415290704783
0.55,0.9125000000000001,-52634.03180241889,3760.9424330162437
0.55,0.91875,-52696.46803041311,3823.3786610104653
0.55,0.925,-52759.3389875866,3886.2496181839524
0.55,0.9312500000000001,-52822.64411159652,3949.5547421938754
0.55,0.9375,-52886.38287224401,4013.293502841363
0.55,0.9437500000000001,-52950.55477110468,4077.4654017020366
0.55,0.95,-53015.159341171944,4142.069971769299
0.5530833333333334,0.2,-48906.06606521868,32.97669581603259
0.5530833333333334,0.20625000000000002,-48898.45847354951,25.36910414686281
0.5530833333333334,0.21250000000000002,-48891.95910668464,18.869737281995185
0.5530833333333334,0.21875,-48886.54479554867,13.455426146021637
0.5530833333333334,0.225,-48882.193360857505,9.103991454860079
0.5530833333333334,0.23125,-48878.8835550402,5.7941856375546195
0.5530833333333334,0.23750000000000002,-48876.59500856711,3.505639164461172
0.5530833333333334,0.24375000000000002,-48875.30818027798,2.218810875332565
0.5530833333333334,0.25,-48875.004311346725,1.9149419440800557
0.5530833333333334,0.25625000000000003,-48875.665382558975,2.5760131563292816
0.5530833333333334,0.2625,-48877.274074612134,4.184705209489039
0.5530833333333334,0.26875000000000004,-48879.813731177455,6.72436177480995
0.5530833333333334,0.275,-48883.268324490164,10.178955087518261
0.5530833333333334,0.28125,-48887.622423256806,14.533053854160244
0.5530833333333334,0.28750000000000003,-48892.86116268975,19.7717932871019
0.5530833333333334,0.29375,-48898.97021649717,25.880847094522323
0.5530833333333334,0.30000000000000004,-48905.935770672746,32.846401270100614
0.5530833333333334,0.30625,-48913.74449894449,40.65512954184669
0.5530833333333334,0.3125,-48922.38353975446,49.29417035181541
0.5530833333333334,0.31875000000000003,-48931.84047465323,58.75110525058699
0.5530833333333334,0.325,-48942.10330800299,69.01393860034295
0.5530833333333334,0.33125000000000004,-48953.16044789273,80.07107849008753
0.5530833333333334,0.3375,-48965.00068817745,91.91131877480802
0.5530833333333334,0.34375,-48977.61319156039,104.5238221577456
0.5530833333333334,0.35000000000000003,-48990.987473644826,117.89810424218012
0.5530833333333334,0.35625,-49005.11338788744,132.0240184847935
0.5530833333333334,0.36250000000000004,-49019.981111391346,146.89174198870023
0.5530833333333334,0.36875,-49035.5811314816,162.49176207895653
0.5530833333333334,0.375,-49051.904233010675,178.81486360802955
0.5530833333333334,0.38125000000000003,-49068.94148634562,195.85211694297323
0.5530833333333334,0.3875,-49086.68423599225,213.59486658960668
0.5530833333333334,0.39375000000000004,-49105.124089815334,232.03472041268833
0.5530833333333334,0.4,-49124.252908816576,251.16353941393027
0.5530833333333334,0.40625,-49144.06279743548,270.9734280328339
0.5530833333333334,0.41250000000000003,-49164.546094340396,291.45672493775055
0.5530833333333334,0.41875,-49185.69536367964,312.60599427699344
0.5530833333333334,0.42500000000000004,-49207.503386764765,334.4140173621199
0.5530833333333334,0.43125,-49229.96315415996,356.87378475731384
0.5530833333333334,0.4375,-49253.06785815357,379.97848875092313
0.5530833333333334,0.44375000000000003,-49276.81088558913,403.72151618648786
0.5530833333333334,0.45,-49301.185811035364,428.0964416327188
0.5530833333333334,0.45625000000000004,-49326.18639027518,453.0970208725339
0.5530833333333334,0.4625,-49351.80655409623,478.71718469358166
0.5530833333333334,0.46875,-49378.040402365485,504.95103296283924
0.5530833333333334,0.47500000000000003,-49404.88219837245,531.7928289698029
0.5530833333333334,0.48125,-49432.32636342611,559.2369940234639
0.5530833333333334,0.48750000000000004,-49460.3674716918,587.2781022891577
0.5530833333333334,0.49375,-49489.00024525524,615.9108758525981
0.5530833333333334,0.5,-49518.21954940144,645.1301799987923
0.5530833333333334,0.5062500000000001,-49548.020388097255,674.9310186946095
0.5530833333333334,0.5125,-49578.39789966718,705.308530264534
0.5530833333333334,0.51875,-49609.34735265191,736.2579832492629
0.5530833333333334,0.525,-49640.86414184088,767.7747724382352
0.5530833333333334,0.53125,-49672.94378446964,799.8544150669914
0.5530833333333334,0.5375000000000001,-49705.5819165739,832.4925471712559
0.5530833333333334,0.54375,-49738.77428949252,865.6849200898723
0.5530833333333334,0.55,-49772.51676651208,899.4273971094372
0.5530833333333334,0.55625,-49806.80531964615,933.7159502435024
0.5530833333333334,0.5625,-49841.636026542794,968.5466571401485
0.5530833333333334,0.5687500000000001,-49877.00506751419,1003.9156981115448
0.5530833333333334,0.575,-49912.90872268253,1039.8193532798832
0.5530833333333334,0.58125,-49949.34336923687,1076.2539998342254
0.5530833333333334,0.5875,-49986.305478795664,1113.216109393019
0.5530833333333334,0.59375,-50023.79161487019,1150.7022454675462
0.5530833333333334,0.6000000000000001,-50061.798430424344,1188.7090610216983
0.5530833333333334,0.60625,-50100.322665526175,1227.2332961235297
0.5530833333333334,0.6125,-50139.36114508751,1266.2717756848651
0.5530833333333334,0.61875,-50178.91077668729,1305.8214072846458
0.5530833333333334,0.625,-50218.96854847531,1345.8791790726682
0.5530833333333334,0.6312500000000001,-50259.531527152605,1386.4421577499597
0.5530833333333334,0.6375,-50300.5968560254,1427.5074866227515
0.5530833333333334,0.64375,-50342.1617531292,1469.072383726554
0.5530833333333334,0.65,-50384.22350942044,1511.1341400177917
0.5530833333333334,0.65625,-50426.77948703237,1553.6901176297251
0.5530833333333334,0.6625000000000001,-50469.827117593006,1596.7377481903604
0.5530833333333334,0.66875,-50513.3639006021,1640.2745311994513
0.5530833333333334,0.675,-50557.38740186514,1684.298032462495
0.5530833333333334,0.68125,-50601.89525198178,1728.8058825791377
0.5530833333333334,0.6875,-50646.88514488663,1773.795775483988
0.5530833333333334,0.6937500000000001,-50692.3548364403,1819.2654670376578
0.5530833333333334,0.7,-50738.3021430687,1865.212773666055
0.5530833333333334,0.70625,-50784.72494044869,1911.6355710460412
0.5530833333333334,0.7125000000000001,-50831.62116223837,1958.5317928357254
0.5530833333333334,0.71875,-50878.98879885016,2005.8994294475124
0.5530833333333334,0.7250000000000001,-50926.825896265094,2053.736526862449
0.5530833333333334,0.73125,-50975.13055488684,2102.041185484195
0.5530833333333334,0.7375,-51023.900928433824,2150.811559031179
0.5530833333333334,0.7437500000000001,-51073.13522286812,2200.0458534654754
0.5530833333333334,0.75,-51122.83169535972,2249.7423259570714
0.5530833333333334,0.7562500000000001,-51172.98865328498,2299.8992838823324
0.5530833333333334,0.7625,-51223.6044532578,2350.5150838551563
0.5530833333333334,0.76875,-51274.677500192636,2401.588130789991
0.5530833333333334,0.7750000000000001,-51326.206246397924,2453.1168769952783
0.5530833333333334,0.78125,-51378.18919069909,2505.0998212964478
0.5530833333333334,0.7875000000000001,-51430.624877589944,2557.5355081872985
0.5530833333333334,0.79375,-51483.51189641158,2610.4225270089373
0.5530833333333334,0.8,-51536.84888055774,2663.759511155098
0.5530833333333334,0.8062500000000001,-51590.634506705836,2717.54513730319
0.5530833333333334,0.8125,-51644.86749407268,2771.7781246700324
0.5530833333333334,0.8187500000000001,-51699.546603694194,2826.457234291549
0.5530833333333334,0.825,-51754.6706377282,2881.581268325557
0.5530833333333334,0.83125,-51810.23843877962,2937.149069376974
0.5530833333333334,0.8375000000000001,-51866.24888924725,2993.159519844601
0.5530833333333334,0.84375,-51922.70091069159,3049.611541288941
0.5530833333333334,0.8500000000000001,-51979.59346322285,3106.5040938202073
0.5530833333333334,0.85625,-52036.9255449087,3163.836175506054
0.5530833333333334,0.8625,-52094.69619120093,3221.606821798283
0.5530833333333334,0.8687500000000001,-52152.90447438066,3279.8151049780136
0.5530833333333334,0.875,-52211.549503021364,3338.460133618719
