scenario,period,model_accuracy,engagement,detection,proxy_sensitivity_actual,proxy_false_positive_actual,expected_override_rate,expected_proxy_rate
exact_equivalent_disengagement,11,0.6,0.6090854572713643,0.75,0.9,0.1,0.21663478260869568,0.5872683658170915
exact_equivalent_disengagement,12,0.6,0.58263868065967,0.75,0.9,0.1,0.20896521739130433,0.566110944527736
exact_equivalent_disengagement,13,0.6,0.556191904047976,0.75,0.9,0.1,0.20129565217391307,0.5449535232383809
exact_equivalent_disengagement,14,0.6,0.5297451274362817,0.75,0.9,0.1,0.19362608695652173,0.5237961019490254
exact_equivalent_disengagement,15,0.6,0.5032983508245874,0.75,0.9,0.1,0.18595652173913038,0.50263868065967
exact_equivalent_disengagement,16,0.6,0.47685157421289337,0.75,0.9,0.1,0.17828695652173912,0.4814812593703147
exact_equivalent_disengagement,17,0.6,0.4504047976011992,0.75,0.9,0.1,0.17061739130434783,0.46032383808095945
exact_equivalent_disengagement,18,0.6,0.4239580209895051,0.75,0.9,0.1,0.16294782608695652,0.43916641679160406
exact_equivalent_disengagement,19,0.6,0.3975112443778109,0.75,0.9,0.1,0.1552782608695652,0.4180089955022487
exact_equivalent_disengagement,20,0.6,0.3710644677661168,0.75,0.9,0.1,0.14760869565217388,0.3968515742128934
exact_equivalent_disengagement,21,0.6,0.3446176911544227,0.75,0.9,0.1,0.1399391304347826,0.37569415292353814
exact_equivalent_disengagement,22,0.6,0.3181709145427285,0.75,0.9,0.1,0.13226956521739128,0.35453673163418287
exact_equivalent_disengagement,23,0.6,0.2917241379310344,0.75,0.9,0.1,0.12459999999999999,0.33337931034482754
mixed,0,0.6,0.9,0.75,0.9,0.1,0.3010000000000001,0.8200000000000001
mixed,1,0.6065217391304347,0.8847826086956522,0.75,0.9,0.1,0.29254773156899816,0.8078260869565218
mixed,2,0.6130434782608696,0.8695652173913043,0.75,0.9,0.1,0.284234404536862,0.7956521739130434
mixed,3,0.6195652173913043,0.8543478260869566,0.75,0.9,0.1,0.2760600189035917,0.7834782608695653
mixed,4,0.6260869565217391,0.8391304347826087,0.75,0.9,0.1,0.2680245746691872,0.771304347826087
mixed,5,0.6326086956521739,0.8239130434782609,0.75,0.9,0.1,0.26012807183364833,0.7591304347826088
mixed,6,0.6391304347826087,0.808695652173913,0.75,0.9,0.1,0.25237051039697544,0.7469565217391304
mixed,7,0.6456521739130434,0.7934782608695652,0.75,0.9,0.1,0.2447518903591683,0.7347826086956522
mixed,8,0.6521739130434783,0.7782608695652175,0.75,0.9,0.1,0.23727221172022683,0.722608695652174
mixed,9,0.658695652173913,0.7630434782608696,0.75,0.9,0.1,0.22993147448015122,0.7104347826086957
mixed,10,0.6652173913043478,0.7478260869565218,0.75,0.9,0.1,0.22272967863894144,0.6982608695652174
mixed,11,0.6717391304347826,0.732608695652174,0.75,0.9,0.1,0.2156668241965974,0.6860869565217392
mixed,12,0.6782608695652174,0.7173913043478262,0.75,0.9,0.1,0.20874291115311913,0.673913043478261
mixed,13,0.6847826086956522,0.7021739130434783,0.75,0.9,0.1,0.20195793950850663,0.6617391304347826
mixed,14,0.691304347826087,0.6869565217391305,0.75,0.9,0.1,0.19531190926275993,0.6495652173913044
mixed,15,0.6978260869565217,0.6717391304347826,0.75,0.9,0.1,0.18880482041587904,0.6373913043478261
mixed,16,0.7043478260869566,0.6565217391304348,0.75,0.9,0.1,0.1824366729678639,0.6252173913043478
mixed,17,0.7108695652173913,0.6413043478260869,0.75,0.9,0.1,0.17620746691871456,0.6130434782608696
mixed,18,0.717391304347826,0.6260869565217392,0.75,0.9,0.1,0.17011720226843102,0.6008695652173913
mixed,19,0.7239130434782609,0.6108695652173913,0.75,0.9,0.1,0.1641658790170132,0.5886956521739131
mixed,20,0.7304347826086957,0.5956521739130436,0.75,0.9,0.1,0.15835349716446126,0.5765217391304349
mixed,21,0.7369565217391305,0.5804347826086957,0.75,0.9,0.1,0.15268005671077503,0.5643478260869567
mixed,22,0.7434782608695653,0.5652173913043479,0.75,0.9,0.1,0.1471455576559546,0.5521739130434783
mixed,23,0.75,0.55,0.75,0.9,0.1,0.14175000000000001,0.54
stable_negative_control,0,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,1,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,2,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,3,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,4,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,5,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,6,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,7,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,8,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,9,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,10,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,11,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,12,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,13,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,14,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,15,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,16,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,17,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,18,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,19,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,20,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,21,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,22,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
stable_negative_control,23,0.75,0.75,0.75,0.9,0.1,0.17875000000000002,0.7000000000000001
