p_start,p_end,e_start,e_end,override_path_rmse,override_path_max_abs,delta_p,delta_e,trajectory_trend_pattern
0.6,0.8737631565769778,0.9,0.8784444259497024,0.0006843010051657364,0.0018088802776044521,0.2737631565769778,-0.02155557405029762,improvement_only
0.6,0.8840230905291196,0.9,0.9103326773818908,0.0006905824176385701,0.0015923738670085286,0.28402309052911967,0.010332677381890809,improvement_only
0.6,0.8829801364012695,0.9,0.9051443285010565,0.0006906233675321266,0.0014046506141387333,0.2829801364012695,0.005144328501056505,improvement_only
0.6,0.5961870236134198,0.9,0.28381803702779806,0.0006975749452430315,0.00153523523064783,-0.0038129763865801802,-0.616181962972202,disengagement_only
0.6,0.6145996830515592,0.9,0.30775757780409063,0.0006996074796409507,0.0015044833983275663,0.014599683051559231,-0.5922424221959094,disengagement_only
0.6,0.8867805746299603,0.9,0.9274098340029595,0.0007076353687542324,0.0018253357181331337,0.2867805746299603,0.027409834002959488,improvement_only
0.6,0.8868888684833358,0.9,0.9296987820097374,0.000708850019317347,0.00169151533795249,0.28688886848333583,0.029698782009737412,improvement_only
0.6,0.597462391474268,0.9,0.2849584663613215,0.0007116429658530051,0.0014558656316141783,-0.002537608525731927,-0.6150415336386785,disengagement_only
0.6,0.6134536348372118,0.9,0.3080379570737777,0.0007120232213526941,0.001830046418065584,0.013453634837211847,-0.5919620429262223,disengagement_only
0.6,0.5859559414893115,0.9,0.27682213832915614,0.0007128698512398881,0.0016001854691207323,-0.014044058510688462,-0.6231778616708439,disengagement_only
0.6,0.8788587350405368,0.9,0.8868994013970896,0.0007177867664105778,0.0009274018979220922,0.2788587350405368,-0.013100598602910463,improvement_only
0.6,0.585903026426545,0.9,0.27807423382052265,0.0007192162538706797,0.0012144686041097863,-0.014096973573454963,-0.6219257661794774,disengagement_only
0.6,0.8825429417483598,0.9,0.9026513175773587,0.0007231633315729685,0.0013575489515039035,0.2825429417483598,0.0026513175773587028,improvement_only
0.6,0.6052485651594174,0.9,0.3013828975340077,0.0007332934249550326,0.0016937608419133332,0.0052485651594174065,-0.5986171024659923,disengagement_only
0.6,0.6149340081172403,0.9,0.3089997687957152,0.0007383567641222429,0.0017797094119630097,0.014934008117240327,-0.5910002312042848,disengagement_only
0.6,0.5854092301746375,0.9,0.2763207881754203,0.0007397839263560289,0.0016447583163669427,-0.014590769825362448,-0.6236792118245797,disengagement_only
0.6,0.587794142870849,0.9,0.2767858727560029,0.000744191477771873,0.0019672107280001433,-0.01220585712915101,-0.623214127243997,disengagement_only
0.6,0.6015260092898415,0.9,0.2977261041775062,0.0007460044995762002,0.0014225372509145684,0.001526009289841479,-0.6022738958224938,disengagement_only
0.6,0.5996792982689897,0.9,0.28697047614062465,0.0007482927811322501,0.0013141395693058722,-0.00032070173101028665,-0.6130295238593754,disengagement_only
0.6,0.5904417011008383,0.9,0.28525773862744885,0.0007501157700728539,0.0010437366202052656,-0.00955829889916171,-0.6147422613725512,disengagement_only
0.6,0.5874527817220414,0.9,0.28126003800152705,0.0007503291497338099,0.0010901585783435197,-0.012547218277958572,-0.618739961998473,disengagement_only
0.6,0.8744118397989844,0.9,0.8707241233426726,0.0007546741263196582,0.001097582717671075,0.2744118397989844,-0.02927587665732745,improvement_only
0.6,0.5851226569028469,0.9,0.2773622873062996,0.0007606146380733573,0.0012764469438462378,-0.01487734309715305,-0.6226377126937004,disengagement_only
0.6,0.6122885011323086,0.9,0.3019433130606219,0.000768587515088127,0.0011085148562550717,0.012288501132308616,-0.5980566869393782,disengagement_only
0.6,0.6161545236381684,0.9,0.3093313066664729,0.0007704229791649249,0.0016081089993787712,0.016154523638168383,-0.5906686933335271,disengagement_only
0.6,0.5849291507279164,0.9,0.275602141115606,0.0007707363152150475,0.001767888247002511,-0.015070849272083575,-0.624397858884394,disengagement_only
0.6,0.8740972060370626,0.9,0.8819301535216265,0.0007731634186479159,0.001945530821190783,0.27409720603706267,-0.018069846478373508,improvement_only
0.6,0.6161868709343805,0.9,0.3084458876199513,0.0007827390589034938,0.0013543657685846366,0.016186870934380537,-0.5915541123800487,disengagement_only
0.6,0.8876419196961038,0.9,0.9319233871999286,0.0007921567727801939,0.0019843801847387876,0.28764191969610386,0.0319233871999286,improvement_only
0.6,0.872449315080768,0.9,0.8732875708257338,0.0007927471603147521,0.002104775161449607,0.272449315080768,-0.026712429174266195,improvement_only
0.6,0.8876200973960239,0.9,0.9311119390394218,0.000796510026639891,0.0020420922937510882,0.2876200973960239,0.031111939039421777,improvement_only
0.6,0.5891856899716971,0.9,0.2771702148318603,0.0008056285997975106,0.0021224544550983576,-0.01081431002830291,-0.6228297851681397,disengagement_only
0.6,0.8852316963009182,0.9,0.9295101109956692,0.0008076830387006655,0.0011740005258893682,0.28523169630091827,0.029510110995669137,improvement_only
0.6,0.8791428081848878,0.9,0.9058860456865918,0.0008081547590700826,0.0010969934180682095,0.2791428081848878,0.00588604568659179,improvement_only
0.6,0.8851793798412257,0.9,0.929378469058504,0.000810056110240455,0.0011769043405168156,0.28517937984122577,0.029378469058503942,improvement_only
0.6,0.5897942553126961,0.9,0.2775586453492289,0.000814400205905455,0.002125107979591895,-0.010205744687303842,-0.6224413546507711,disengagement_only
0.6,0.5844758544664924,0.9,0.2772690876220914,0.0008150982988803045,0.001178908621861735,-0.01552414553350756,-0.6227309123779086,disengagement_only
0.6,0.8851990561199112,0.9,0.9145734674784918,0.0008175614388667089,0.0019585372052635247,0.28519905611991125,0.014573467478491753,improvement_only
0.6,0.5855759943895185,0.9,0.27482161502985575,0.0008204846926981066,0.0021269116793912607,-0.014424005610481516,-0.6251783849701442,disengagement_only
0.6,0.8853863208093253,0.9,0.9302647298469615,0.000823753118026531,0.0011976933883350582,0.28538632080932536,0.03026472984696149,improvement_only
0.6,0.616734837193431,0.9,0.3111397657807031,0.0008241848224972647,0.001985720749084291,0.01673483719343105,-0.5888602342192969,disengagement_only
0.6,0.8741832114549022,0.9,0.8688686400152505,0.000827842379790689,0.0012024769617536846,0.2741832114549022,-0.031131359984749474,improvement_only
0.6,0.8843223731441247,0.9,0.9267299263163076,0.0008281850263068192,0.0011881261740112892,0.2843223731441247,0.02672992631630755,improvement_only
0.6,0.6167286914384408,0.9,0.3112503954368193,0.0008290362480874142,0.0020178463989289352,0.0167286914384408,-0.5887496045631807,disengagement_only
0.6,0.6015854092497172,0.9,0.28849371404236046,0.000829956799905702,0.001256989349625079,0.0015854092497171735,-0.6115062859576396,disengagement_only
0.6,0.8741443605552286,0.9,0.8686339545487239,0.0008352346550701429,0.001213072519689412,0.2741443605552286,-0.03136604545127608,improvement_only
0.6,0.600174133658741,0.9,0.2869527962628954,0.0008381735066141258,0.0014186667819698073,0.00017413365874097142,-0.6130472037371046,disengagement_only
0.6,0.8852556277218944,0.9,0.9301215292487232,0.0008415467326130719,0.0012213649198907495,0.2852556277218944,0.030121529248723133,improvement_only
0.6,0.8719525739872261,0.9,0.862584157345008,0.0008427088514751279,0.0013420183206481195,0.27195257398722616,-0.03741584265499198,improvement_only
0.6,0.591509523302256,0.9,0.27872633444236306,0.000843892711353433,0.0021127993983734022,-0.008490476697743943,-0.621273665557637,disengagement_only
0.6,0.5833045391170071,0.9,0.274310242639921,0.0008464985010309648,0.0018442144863635712,-0.016695460882992896,-0.625689757360079,disengagement_only
0.6,0.6168958310218724,0.9,0.31175190525512636,0.0008519856756811237,0.0021209372656304515,0.01689583102187242,-0.5882480947448736,disengagement_only
0.6,0.878422786730176,0.9,0.9033305122920654,0.0008566651695253881,0.0013103895651708497,0.27842278673017606,0.0033305122920653796,improvement_only
0.6,0.5875643901128094,0.9,0.27560328685374486,0.0008577815245365549,0.0022759403411555246,-0.012435609887190613,-0.6243967131462551,disengagement_only
0.6,0.8835532665748775,0.9,0.9056819835922272,0.0008588086064851605,0.0017185842061675921,0.28355326657487756,0.005681983592227158,improvement_only
0.6,0.8713729243443517,0.9,0.861097082033813,0.0008588130981539773,0.0015432504826730364,0.2713729243443517,-0.038902917966187056,improvement_only
0.6,0.5937185868799718,0.9,0.28994440558927603,0.0008662537801146123,0.0011033292146189477,-0.0062814131200281675,-0.610055594410724,disengagement_only
0.6,0.8883592343631603,0.9,0.935002989041078,0.0008706623951408054,0.0021808554110935435,0.28835923436316035,0.035002989041078014,improvement_only
0.6,0.6122161009943993,0.9,0.3008861127878748,0.0008787661317940861,0.0012381944308957615,0.012216100994399293,-0.5991138872121252,disengagement_only
0.6,0.8843433842855112,0.9,0.9275764356738379,0.0008835146575271408,0.0012605734750907593,0.2843433842855112,0.02757643567383783,improvement_only
0.6,0.6016071178136458,0.9,0.2881910184594699,0.0008847305258354667,0.0013488144904029997,0.0016071178136458641,-0.6118089815405301,disengagement_only
0.6,0.5987336735657262,0.9,0.28517616234271637,0.0008884507209185156,0.0016461246416527436,-0.0012663264342738234,-0.6148238376572837,disengagement_only
0.6,0.8830564688924065,0.9,0.9228484696523871,0.0008888261854317469,0.001220071947663326,0.28305646889240654,0.02284846965238707,improvement_only
0.6,0.615058507070109,0.9,0.31116564249030376,0.0008894557286571889,0.002358053302997376,0.015058507070109028,-0.5888343575096963,disengagement_only
0.6,0.8723684162961503,0.9,0.8749127096147515,0.000889592690901612,0.002315673407677521,0.2723684162961503,-0.025087290385248484,improvement_only
0.6,0.6113151671785286,0.9,0.3081425655639207,0.0008954718135284638,0.0023206647626134447,0.011315167178528651,-0.5918574344360793,disengagement_only
0.6,0.8704297826882735,0.9,0.8631278675900704,0.0008978483373551308,0.0023162444359174084,0.27042978268827356,-0.03687213240992959,improvement_only
0.6,0.8709549487653939,0.9,0.8592273304854445,0.0008992549261073226,0.0016075977241220285,0.27095494876539394,-0.04077266951455549,improvement_only
0.6,0.8702028328585515,0.9,0.860907895179179,0.0009007201738028424,0.0022294631265669385,0.2702028328585515,-0.03909210482082104,improvement_only
0.6,0.6179040524006729,0.9,0.30934722009560994,0.0009016306664403011,0.001282763950736343,0.017904052400672943,-0.5906527799043901,disengagement_only
0.6,0.8839215962233715,0.9,0.9263451754697261,0.0009065213141929438,0.001274724628203272,0.28392159622337154,0.026345175469726034,improvement_only
0.6,0.8849988498681645,0.9,0.9121774016394719,0.0009072244918381067,0.002047210764639318,0.2849988498681645,0.012177401639471896,improvement_only
0.6,0.8704075060001066,0.9,0.8584008195614439,0.0009077248367065999,0.0018536203365784043,0.27040750600010666,-0.04159918043855615,improvement_only
0.6,0.6051305748134204,0.9,0.2919281321828734,0.0009110821891415568,0.0011522807178391825,0.0051305748134203855,-0.6080718678171266,disengagement_only
0.6,0.8817223223745677,0.9,0.9178664094302665,0.0009110863187108492,0.001189631863791174,0.28172232237456774,0.017866409430266517,improvement_only
0.6,0.8734268724632972,0.9,0.8809141506081261,0.0009213584457386009,0.0022591828997472474,0.2734268724632972,-0.019085849391873966,improvement_only
0.6,0.6056829064515049,0.9,0.29248408273684423,0.0009235133112859522,0.0011677572482649279,0.005682906451504932,-0.6075159172631558,disengagement_only
0.6,0.88576520798588,0.9,0.9331625040931446,0.0009290123025619435,0.0013481892141645746,0.28576520798588,0.033162504093144585,improvement_only
0.6,0.87030330293124,0.9,0.8637429952797215,0.0009332420207459904,0.0024546594756373885,0.27030330293124005,-0.036257004720278485,improvement_only
0.6,0.8785372361678955,0.9,0.9047537165452918,0.0009341486676507401,0.0013732580647246584,0.2785372361678955,0.004753716545291775,improvement_only
0.6,0.8875884777437275,0.9,0.9262338168031263,0.0009359332029655395,0.002454114513514946,0.28758847774372753,0.02623381680312631,improvement_only
0.6,0.870847149082018,0.9,0.8579140041383365,0.0009393953036655139,0.001540567675232668,0.270847149082018,-0.042085995861663505,improvement_only
0.6,0.8869533294111686,0.9,0.9222796489685023,0.000940436571263228,0.0023947529429072245,0.2869533294111686,0.02227964896850232,improvement_only
0.6,0.5991233362954305,0.9,0.2851946818377813,0.0009523816261561349,0.001718528388631027,-0.0008766637045695136,-0.6148053181622187,disengagement_only
0.6,0.5890781028901549,0.9,0.2759947408771318,0.0009535987504112422,0.0024514548317289275,-0.010921897109845036,-0.6240052591228682,disengagement_only
0.6,0.8699425848081763,0.9,0.862039832388811,0.0009559222837508121,0.0025006689989052755,0.26994258480817634,-0.03796016761118903,improvement_only
0.6,0.8890002477832917,0.9,0.9408912277465888,0.0009575053314271098,0.0020840025226120384,0.2890002477832917,0.04089122774658882,improvement_only
0.6,0.6102100906600879,0.9,0.30760235915146217,0.0009593937379329004,0.00240623057198866,0.010210090660087934,-0.5923976408485379,disengagement_only
0.6,0.6083803291584791,0.9,0.3058951069789505,0.0009628899698609637,0.0023151298447793844,0.008380329158479083,-0.5941048930210495,disengagement_only
0.6,0.5970623676034793,0.9,0.29427531266068907,0.0009657758826194021,0.0013449715559776254,-0.002937632396520673,-0.605724687339311,disengagement_only
0.6,0.5823810753918366,0.9,0.27610130849344094,0.0009706743528206786,0.0014016441807568891,-0.01761892460816339,-0.6238986915065591,disengagement_only
0.6,0.8726604717950852,0.9,0.8779197820697127,0.0009750372408762388,0.002434921416060276,0.27266047179508524,-0.02208021793028736,improvement_only
0.6,0.6175506593767593,0.9,0.3138847449683656,0.0009776636610672007,0.002570357071075502,0.01755065937675937,-0.5861152550316344,disengagement_only
0.6,0.8861879637707959,0.9,0.9173055162415371,0.0009810620150876074,0.002346658784173228,0.2861879637707959,0.01730551624153709,improvement_only
0.6,0.8716620897764797,0.9,0.8729603277342513,0.0009858829764958978,0.00255333619595971,0.27166208977647976,-0.02703967226574877,improvement_only
0.6,0.885956158312136,0.9,0.9159895093804746,0.0009860870382950844,0.0023160310893235447,0.28595615831213606,0.01598950938047461,improvement_only
0.6,0.5947833457113046,0.9,0.2806825631026406,0.0009963574825338503,0.0021770999726342666,-0.005216654288695333,-0.6193174368973594,disengagement_only
0.6,0.8864983359339569,0.9,0.9186689408619846,0.0010010628169220932,0.0024239931318429525,0.2864983359339569,0.018668940861984562,improvement_only
0.6,0.6054269155440619,0.9,0.2916715595512062,0.0010070424681359303,0.0012758250592148912,0.005426915544061939,-0.6083284404487939,disengagement_only
0.6,0.6204648295881976,0.9,0.31223056117472303,0.001012976736593998,0.0014740410820020533,0.02046482958819762,-0.587769438825277,disengagement_only
0.6,0.6215139785222423,0.9,0.31545749923321137,0.0010156535703952686,0.0021319526734027983,0.02151397852224235,-0.5845425007667886,disengagement_only
0.6,0.6212924168833734,0.9,0.3141156133808943,0.0010157135705224879,0.001811731467681571,0.021292416883373466,-0.5858843866191057,disengagement_only
0.6,0.6093746781668602,0.9,0.3072156695416879,0.0010180364935756122,0.0024765105462506154,0.009374678166860217,-0.5927843304583121,disengagement_only
0.6,0.5843537378876728,0.9,0.27954551023095203,0.0010203497956513524,0.0014708160451176455,-0.015646262112327225,-0.620454489769048,disengagement_only
0.6,0.8861358992055909,0.9,0.9358896690045694,0.0010258839633490542,0.0014856267255533573,0.2861358992055909,0.03588966900456936,improvement_only
0.6,0.593747182386084,0.9,0.29097875886121227,0.001028201066310426,0.001299990711498028,-0.00625281761391594,-0.6090212411387878,disengagement_only
0.6,0.889661125770048,0.9,0.9439757839715175,0.0010322930020834288,0.0022501844476572747,0.289661125770048,0.04397578397151747,improvement_only
0.6,0.6171771637206745,0.9,0.31423317057079525,0.0010353565705076319,0.002749275233377785,0.01717716372067457,-0.5857668294292048,disengagement_only
0.6,0.8835584882871653,0.9,0.9033955582911088,0.001037843695656533,0.0019311232796350442,0.28355848828716534,0.0033955582911088245,improvement_only
0.6,0.5917661630404144,0.9,0.28878813088352373,0.001038359170682398,0.0013339820745821573,-0.008233836959585572,-0.6112118691164763,disengagement_only
0.6,0.6207842066782767,0.9,0.31235043597009116,0.0010390397034133303,0.001476161377983759,0.02078420667827674,-0.5876495640299089,disengagement_only
0.6,0.6162956040713226,0.9,0.31359158028876494,0.001041218849048357,0.002764443321001564,0.016295604071322578,-0.5864084197112351,disengagement_only
0.6,0.6215757358063212,0.9,0.3166911909333203,0.0010414693659263853,0.0024574535432262956,0.021575735806321217,-0.5833088090666797,disengagement_only
0.6,0.5800718034498991,0.9,0.27014633051474335,0.0010438645497612888,0.0024890937304740124,-0.01992819655010092,-0.6298536694852567,disengagement_only
0.6,0.8755028145578603,0.9,0.8703254053491556,0.0010451236003428583,0.0014538755557267635,0.2755028145578603,-0.029674594650844432,improvement_only
0.6,0.8684352717076551,0.9,0.853418991562767,0.0010474003292570574,0.002530076336765358,0.26843527170765513,-0.04658100843723301,improvement_only
0.6,0.6222300269440787,0.9,0.31592831080182415,0.0010478175019290096,0.0021030437294637105,0.022230026944078718,-0.5840716891981759,disengagement_only
0.6,0.8739102952090462,0.9,0.8647806572412273,0.0010489331240600773,0.0015053105200796557,0.2739102952090462,-0.0352193427587727,improvement_only
0.6,0.5860882498402851,0.9,0.28205659418346085,0.0010503979693765805,0.0014743815919507908,-0.013911750159714908,-0.6179434058165392,disengagement_only
0.6,0.6222984521969989,0.9,0.3159288879786276,0.0010512842490513971,0.002088069869432274,0.022298452196998886,-0.5840711120213724,disengagement_only
