scenario,cases_per_period,audit_share,estimator,replications,truth,mean_estimate,bias,rmse,empirical_sd,mean_reported_se,coverage_95,mcse_bias,mcse_coverage
improvement_only,1000,0.25,delta_e_audit_proxy,1000,0.0,-0.001063218714944525,-0.001063218714944525,0.020829596175963267,0.020812852222497777,0.020584007000760657,0.939,0.0006581601762759052,0.007568289106528638
improvement_only,1000,0.25,delta_override,1000,-0.1764,-0.1760577,0.00034230000000000203,0.008650110912583723,0.008647660466365543,0.008637716753666085,0.953,0.0002734630350550903,0.00669260786241059
improvement_only,4000,0.1,delta_p_audit_override,1000,0.28,0.2791796759696667,-0.0008203240303333681,0.012232718935973642,0.012211289720927686,0.012197988531024294,0.95,0.00038615488686333385,0.006892024376045114
improvement_only,4000,0.1,delta_e_audit_override,1000,0.0,-0.0035209975601392133,-0.0035209975601392133,0.048013641344193864,0.04790832431685777,0.04748312439408612,0.943,0.0015149942372330086,0.007331507348424336
improvement_only,4000,0.1,delta_p_audit_proxy,1000,0.28,0.27900508781302913,-0.000994912186970858,0.013731494415521827,0.013702256765372199,0.014042957509611787,0.952,0.0004333034046302754,0.006759881655768837
improvement_only,4000,0.1,delta_e_audit_proxy,1000,0.0,-0.00011961143726317744,-0.00011961143726317744,0.010716331244946758,0.010721025550027493,0.010298998084477632,0.941,0.00033902859590946355,0.007451107300260817
improvement_only,4000,0.1,delta_override,1000,-0.1764,-0.17667982499999998,-0.00027982499999999776,0.004342554675821595,0.0043356980244516835,0.004321838875977262,0.954,0.00013710681003959734,0.006624499981130654
improvement_only,4000,0.25,delta_p_audit_override,1000,0.28,0.2797874081192433,-0.0002125918807567531,0.008745121982729497,0.008746912121240942,0.008341326296065155,0.939,0.0002766016479645624,0.007568289106528638
improvement_only,4000,0.25,delta_e_audit_override,1000,0.0,-0.0025057072693780037,-0.0025057072693780037,0.03713024692445556,0.03706413924765281,0.037234420532910505,0.943,0.0011720709953622253,0.007331507348424336
improvement_only,4000,0.25,delta_p_audit_proxy,1000,0.28,0.27973784441800015,-0.00026215558199990674,0.009392536078828924,0.00939357480891167,0.008882456666491288,0.929,0.00029705091767341836,0.008121514637061239
improvement_only,4000,0.25,delta_e_audit_proxy,1000,0.0,-0.00023040083120445364,-0.00023040083120445364,0.010192584051705585,0.01019507845643162,0.010299807329070737,0.963,0.00032239668846437635,0.005969170796685251
improvement_only,4000,0.25,delta_override,1000,-0.1764,-0.1766910175,-0.00029101749999999743,0.004319346631002193,0.004311688159901175,0.004321483896102807,0.948,0.00013634755145667995,0.007021111023192843
exact_equivalent_disengagement,250,0.1,delta_p_audit_override,1000,0.0,0.0038883333624412735,0.0038883333624412735,0.062139731384834716,0.06204898997888151,0.06063677072014538,0.942,0.0019621613484622864,0.007391616873188169
exact_equivalent_disengagement,250,0.1,delta_e_audit_override,1000,-0.6082758620689657,-0.5967689387067076,0.011506923362258137,0.10260726945523704,0.1020110224853336,0.10631853885461592,0.958,0.003225871774963047,0.006343185319695463
